question,answer
What should I expect once we get started?,"<p>Getting started with AutoQL can be broken out into four key stages: connect, train, implement, and go live.</p>
<p>Stage 1 – Connect:</p>
<p style=""padding-left: 40px;"">We’ll work with you and your team to configure an encrypted, read-only connection between our cloud and your database. Without storing your data, this connection allows us to train a custom model, execute queries, and pass data back to you. We use thorough <a title="""" href=""https://chata.readme.io/docs/autoql-security-best-practices"" target="""" rel=""noopener noreferrer"">security practices</a> to make sure none of your users’ data ends up where it shouldn’t. You’ll be able to configure access and permissions for individual customers and users later on.</p>
<p>Stage 2 – Train:</p>
<p style=""padding-left: 40px;"">Next, we get to work generating training data and building a custom language model specific to your database. We begin with unsupervised machine training based on our system’s current understanding of typical database structures, allowing us to tailor our model to your app and deliver a feature that your users can operate intuitively. Semi-automated training is also available if you wish to customize certain queries to fit terms or jargon that are unique to your business.</p>
<p>Stage 3 – Implement:</p>
<p style=""padding-left: 40px;"">Once your custom language model is ready, it’ll be your turn to build and implement a conversational UI in your solution, letting your users query their data from anywhere in your application. At this stage, you can make use of any of our flexible implementation options (all widget components are open source) or opt to build directly on top of our API.</p>
<p>Stage 4 – Go Live:</p>
<p style=""padding-left: 40px;"">With AutoQL trained on your database and implemented in your interface, you’re ready to start offering conversational access to data on demand to users! As users ask questions, their conversational English will be sent up to our cloud and translated into a query language appropriate for your database. Relevant data is then returned to them in easy-to-understand visualizations, all within seconds.</p>"
What is an 'end-to-end' system for delivering access to data on demand?,"<p>We’ve built a suite of proprietary conversational AI technologies that enable the real-time translation of natural language (the words you’re accustomed to using in everyday life) to database query languages. This is the core functionality and value of the AutoQL API.</p>
<p>But the AutoQL system is comprised of several critical stages and elements that come together to elevate human-to-database interactions.</p>
<p>Check out the links below for more info on the core components of the AutoQL system:</p>
<ul>
<li><a href=""https://chata.readme.io/docs/autoql-api"">AutoQL API</a></li>
<li><a href=""https://chata.readme.io/docs/autoql-training-data-generation"">Training Data</a></li>
<li><a href=""https://chata.readme.io/docs/autoql-custom-language-model"">Custom Language Models</a></li>
<li><a href=""https://chata.readme.io/docs/autoql-ux-enhancing-models"">UX-Enhancing Models</a></li>
<li><a href=""https://chata.readme.io/docs/autoql-flexible-implementation-options"">Flexible Front End Implementations</a></li>
</ul>"
What does ''dynamically translating natural language to SQL'' mean?,"<p>When it comes to accessing information from a business’ relational database, team members are typically required to write and run database query language statements (DBQL) like SQL. But this is a time-consuming task that requires the expertise of technically-savvy and database-literate team members.</p>
<p>With AutoQL, any user can simply ask questions in their own words to access and analyze their data.</p>
<p>Through our API, AutoQL receives, understands, and interprets natural language queries, dynamically generates a corresponding database query language statement, executes the DBQL statement against the database through a read-only connection, and returns relevant data to the end user within seconds.</p>"
How does AutoQL answer questions about my unique database from my unique users?,"<p>Each AutoQL integration begins with our team generating custom training data and building a custom language model unique to your database. We handle all the heavy-lifting here, and thanks to the technologies we’ve developed, these processes happen rapidly and with high-precision.</p>
<p>Once we’ve built a training corpus and trained a custom model for your database, AutoQL can be implemented in your solution, allowing your users to ask questions about their data in natural language and instantly receive answers.</p>"
How do I know what queries I can ask?,"<p>The core value of AutoQL is accessing data easily and intuitively using natural language, or more simply, the words you use every day.</p>
<p>Think about the way you would ask a coworker a data-related question, like: “What was our click-through rate on our newsletter last month?” or “Which sales rep brought in the most new business this quarter?”. Approach querying with AutoQL the same way! Simply type questions in your own words and you’ll receive data responses in just seconds.</p>
<p>Tip: Be clear and succinct. Remember, if your question wouldn’t make sense to another person, you might be missing important context that AutoQL will need in order to answer your question accurately. For example, if you went up to a coworker and said “Expenses”, they’d probably say, “Well, what about expenses?”. But if you went up to that coworker and asked, “What were our total expenses last month compared to this month last year?”, they’d be much more equipped to provide an answer to you.</p>"
Can the SQL statement that is generated through a user query join multiple tables in a database?,"<p>Yes, AutoQL automatically generates table-joining SQL when a user query requires it.</p>
<p>The system is built to dynamically translate natural language into accurate SQL statements that can include multi-table joins, back joins, and alias joins.</p>"
Is it possible to query across different data sources?,"<p>At this time, users can only query one data source. AutoQL can be integrated with a data warehouse or a data lake that brings data from multiple sources together.</p>"
"How does AutoQL handle similar column, table, or item labels in the database?","<p>A key feature of AutoQL’s technology is the ability to disambiguate unique labels. This means the system is trained to determine what a user is referring to, even when that meaning is not explicit.</p>
<p>For example, “invoice” might refer mean different things for users in the accounting department vs. users in the warehouse.</p>
<p>Unique labels are taken into account during the integration and training processes, and we’ve built in a machine learning model that is trained to disambiguate value labels based on the context of the question being asked.</p>"
Do queries ever fail to return data? What happens if a query doesn’t work?,"<p>There are cases where a natural language query may be asked and AutoQL will not immediately return a data response. There’s a handful of reasons why this may occur, but even when a data response cannot be returned immediately, AutoQL will always return a message that provides information about why the query could not be answered, or a prompt to help the user clarify what they are asking.</p>
<p>Here’s a summary of common circumstances that can inhibit a data response from being returned:</p>
<ul>
<li><em>User Permissions Lacking:</em> If a user attempts to query information that they do not have access to in the database, they will receive an error message indicating that their query could not be executed due to a permissions issue.</li>
<li><em>Confidence Threshold Issue: </em>AutoQL is designed to ensure that only correct data responses are returned in response to user queries. Therefore, AutoQL will not return data if the system is not confident that an optimal SQL statement has been generated.</li>
<li><em>Ambiguous Input or User Error: </em>When a natural language query is received but is not immediately understood by the system, AutoQL has built-in models that act as “safety nets” or “check points”. In such cases, these models kick in to try to determine exactly what data the user is asking for. If this verification step is unsuccessful (whether that be because the meaning of the user’s query is still unclear, or because the data the user wants is not actually present in the database), AutoQL will not return a data response.</li>
</ul>"
What front end implementation options are available?,"<p><span class=""TextRun BCX0 SCXW118924532"" lang=""EN-CA"" xml:lang=""EN-CA"" data-contrast=""auto""><span class=""NormalTextRun BCX0 SCXW118924532"">Once we’ve set up a data source connection and built a custom machine learning model specific to your database, it’ll be your turn to build a custom conversational user interface (CUI) that will serve as a natural language interface to your database. </span></span><span class=""TextRun BCX0 SCXW118924532"" lang=""EN-CA"" xml:lang=""EN-CA"" data-contrast=""auto""><span class=""NormalTextRun BCX0 SCXW118924532"">We’ve developed flexible front end widgets to make this process seamless and simple for developers. </span></span></p>
<p><span class=""TextRun BCX0 SCXW118924532"" lang=""EN-CA"" xml:lang=""EN-CA"" data-contrast=""auto""><span class=""NormalTextRun BCX0 SCXW118924532"">Implementation options include <a href=""https://chata.ai/autoql/data-messenger/"">Data Messenger</a> and natural language-driven <a href=""https://chata.ai/autoql/dashboards/"">Dashboards</a>, both of which can be directly embedded within an existing front end interface. Developers are welcome to customize and use our widgets however they like — all components are MIT licensed and open source. We currently offer these as <a class=""doc-link"" title="""" href=""https://chata.readme.io/docs/autoql-react-widgets"" target="""" rel=""noopener noreferrer"" data-sidebar=""autoql-react-widgets"">React Widgets</a>, <a class=""doc-link"" title="""" href=""https://chata.readme.io/docs/vanilla-components"" target="""" rel=""noopener noreferrer"" data-sidebar=""vanilla-components"">Vanilla JS Widgets</a>, <a class=""doc-link"" title="""" href=""https://chata.readme.io/docs/ios-components"" target="""" rel=""noopener noreferrer"" data-sidebar=""ios-components"">iOS Components</a>, and <a class=""doc-link"" title="""" href=""https://chata.readme.io/docs/android-components"" target="""" rel=""noopener noreferrer"" data-sidebar=""android-components"">Android Components</a>. </span></span></p>
<p><span class=""TextRun BCX0 SCXW118924532"" lang=""EN-CA"" xml:lang=""EN-CA"" data-contrast=""auto""><span class=""NormalTextRun BCX0 SCXW118924532"">Tip: Integrations with </span></span><span class=""TextRun BCX0 SCXW118924532"" lang=""EN-CA"" xml:lang=""EN-CA"" data-contrast=""auto""><span class=""NormalTextRun BCX0 SCXW118924532"">web</span></span><span class=""TextRun BCX0 SCXW118924532"" lang=""EN-CA"" xml:lang=""EN-CA"" data-contrast=""auto""><span class=""NormalTextRun BCX0 SCXW118924532"">–</span></span><span class=""TextRun BCX0 SCXW118924532"" lang=""EN-CA"" xml:lang=""EN-CA"" data-contrast=""auto""><span class=""NormalTextRun BCX0 SCXW118924532"">based</span></span><span class=""TextRun BCX0 SCXW118924532"" lang=""EN-CA"" xml:lang=""EN-CA"" data-contrast=""auto""><span class=""NormalTextRun BCX0 SCXW118924532""> services are ideal</span></span><span class=""TextRun BCX0 SCXW118924532"" lang=""EN-CA"" xml:lang=""EN-CA"" data-contrast=""auto""><span class=""NormalTextRun BCX0 SCXW118924532"">, but our </span></span><span class=""TextRun BCX0 SCXW118924532"" lang=""EN-CA"" xml:lang=""EN-CA"" data-contrast=""auto""><span class=""NormalTextRun BCX0 SCXW118924532"">widgets will also </span></span><span class=""TextRun BCX0 SCXW118924532"" lang=""EN-CA"" xml:lang=""EN-CA"" data-contrast=""auto""><span class=""NormalTextRun BCX0 SCXW118924532"">run in an </span></span><span class=""TextRun BCX0 SCXW118924532"" lang=""EN-CA"" xml:lang=""EN-CA"" data-contrast=""auto""><span class=""NormalTextRun BCX0 SCXW118924532"">E</span></span><span class=""TextRun BCX0 SCXW118924532"" lang=""EN-CA"" xml:lang=""EN-CA"" data-contrast=""auto""><span class=""NormalTextRun BCX0 SCXW118924532"">lectron wrapper or </span></span><span class=""TextRun BCX0 SCXW118924532"" lang=""EN-CA"" xml:lang=""EN-CA"" data-contrast=""auto""><span class=""NormalTextRun BCX0 SCXW118924532"">similar</span></span><span class=""TextRun BCX0 SCXW118924532"" lang=""EN-CA"" xml:lang=""EN-CA"" data-contrast=""auto""><span class=""NormalTextRun BCX0 SCXW118924532""> technology for use in desktop applications. </span></span><span class=""TextRun BCX0 SCXW118924532"" lang=""EN-CA"" xml:lang=""EN-CA"" data-contrast=""auto""><span class=""NormalTextRun CommentStart BCX0 SCXW118924532"">We provide hooks so the components can be easily called from buttons or events. </span></span></p>"
Do I need to use the front end implementation options that are provided? Or can I build directly on top of the API?,"<p><span class=""TextRun BCX0 SCXW118924532"" lang=""EN-CA"" xml:lang=""EN-CA"" data-contrast=""auto""><span class=""NormalTextRun BCX0 SCXW118924532"">There’s no obligation to leverage the widgets we’ve provided. You’re more than welcome to build freely on top of our API to </span></span><span class=""TextRun BCX0 SCXW118924532"" lang=""EN-CA"" xml:lang=""EN-CA"" data-contrast=""auto""><span class=""NormalTextRun BCX0 SCXW118924532"">implement</span></span><span class=""TextRun BCX0 SCXW118924532"" lang=""EN-CA"" xml:lang=""EN-CA"" data-contrast=""auto""><span class=""NormalTextRun BCX0 SCXW118924532""> </span></span><span class=""TextRun BCX0 SCXW118924532"" lang=""EN-CA"" xml:lang=""EN-CA"" data-contrast=""auto""><span class=""NormalTextRun SpellingErrorV2 BCX0 SCXW118924532"">AutoQL’s</span></span><span class=""TextRun BCX0 SCXW118924532"" lang=""EN-CA"" xml:lang=""EN-CA"" data-contrast=""auto""><span class=""NormalTextRun BCX0 SCXW118924532""> functionality however you like </span></span><span class=""TextRun BCX0 SCXW118924532"" lang=""EN-CA"" xml:lang=""EN-CA"" data-contrast=""auto""><span class=""NormalTextRun BCX0 SCXW118924532"">in your own </span></span><span class=""TextRun BCX0 SCXW118924532"" lang=""EN-CA"" xml:lang=""EN-CA"" data-contrast=""auto""><span class=""NormalTextRun BCX0 SCXW118924532"">front-end interface.</span></span></p>"
Tell me more about Data Messenger,"<p><a href=""https://chata.ai/autoql/data-messenger/"">Data Messenger</a> is an embeddable and totally customizable conversational user interface (CUI) designed to facilitate data query and analysis through natural language.</p>
<p>Data Messenger is:</p>
<ul>
<li>Fast and simple to implement (see our <a href=""https://chata.readme.io/docs/autoql-about-data-messenger"">Developer Docs</a> for details about how to get set up)</li>
<li>Highly flexible and customizable (all components are open source)</li>
<li>Easy to use and accessible for all types of users</li>
</ul>
<p>Learn more about Data Messenger in this short <a href=""https://www.youtube.com/watch?v=w5SBXW0ZvYA&amp;feature=youtu.be&amp;ab_channel=Chata"">3-minute demo video</a>.</p>"
Tell me more about natural language-driven Dashboards,"<p><a href=""https://chata.ai/autoql/dashboards/"">Dashboards</a> are a completely customizable frontend implementation option that allows you to deliver powerful reporting functionality and interactive data visualizations within your software application.</p>
<p>Dashboards employ the foundational natural language to database query language translation technology behind AutoQL and flexible frontend components so software vendors can embed reporting functionality however they want, within any part of their app interface.</p>
<p>AutoQL Dashboards are:</p>
<ul>
<li>Fast and simple to implement (see our <a href=""https://chata.readme.io/docs/autoql-about-dashboards"">Developer Docs</a> for details about how to get set up)</li>
<li>Highly flexible and customizable (all components are open source)</li>
<li>Easy to use and accessible for all types of users</li>
</ul>
<p>Learn more about Dashboards in this short <a href=""https://www.youtube.com/watch?v=fbxDrQ1mi_Q&amp;feature=youtu.be&amp;ab_channel=Chata"">3-minute demo video</a>.</p>"
How long does it take to implement Data Messenger?,"<p>Average implementation time is just 2 hours.</p>
<p>Completely customizable frontend components allow developers to seamlessly embed and brand Data Messenger within an existing application, thereby enabling users to connect instantly and intuitively with their data, simply by asking questions in natural language.</p>
<p>For step-by-step instructions on implementing Data Messenger, start by selecting your preferred widget library:</p>
<ul>
<li><a title="""" href=""https://chata.readme.io/docs/react-data-messenger"" target="""" rel=""noopener noreferrer"">Implementing Data Messenger using React</a></li>
<li><a title="""" href=""https://chata.readme.io/docs/vanilla-data-messenger"" target="""" rel=""noopener noreferrer"">Implementing Data Messenger using Vanilla JavaScript</a></li>
</ul>"
How long does it take to implement Dashboards?,"<p>Average implementation time is just 3-4 hours.</p>
<p>Completely customizable frontend components allow developers to seamlessly embed and brand Dashboards within an existing application, thereby making it possible for users to set up and manage Dashboards using natural language so they can easily keep a pulse on the data they care about.</p>
<p>For step-by-step instructions on how to implement Dashboards, start by selecting your preferred widget library:</p>
<ul>
<li><a title="""" href=""https://chata.readme.io/docs/react-dashboards"" target="""" rel=""noopener noreferrer"">Implementing Dashboards using React</a></li>
<li><a title="""" href=""https://chata.readme.io/docs/vanilla-dashboards"" target="""" rel=""noopener noreferrer"">Implementing Dashboards using Vanilla JavaScript</a></li>
</ul>"
Does Chata offer a Partner Program?,"<p>We sure do! We work with innovative systems integrators, professional services providers, and technology partners to reimagine and transform the future of data accessibility across every industry.</p>
<p><a href=""https://chata.ai/contact/"">Get in touch</a> with our team to learn more about the benefits of working with us and how to <a href=""https://chata.ai/autoql/partners/"">join our growing network</a> of innovative partners.</p>"
What are the benefits of partnering with Chata?,"<p>Data-powered businesses demand innovation &amp; impact. Chata’s Partners make it happen. Here’s a snapshot of some of the key benefits that come with joining our network of partners:</p>


<ul>
<li>Establish your team as innovation trailblazers by introducing the world’s first conversational AI solution for data access to your tech stack.</li>
<li>Open the door to delivering custom AI solutions that scale, allowing you to earn credibility and loyalty as you propel businesses toward the data-powered future of tomorrow.</li>
<li>Expand current business, attract new customers, and capitalize on recurring revenue-generating activities.</li>
<li>Stand out and surpass competitors with AI that offers real business value.</li>
<li>Earn referral revenue and leverage shared informational resources so you and your customers realize value and see high ROI, fast.</li>
</ul>
<p>Read more on our <a href=""https://chata.ai/autoql/partners/"">Partners page</a>.</p>"
How do I join Chata's network of partners?,"<p>So glad you asked! Start by <a href=""https://chata.ai/autoql/partners/#form"">submitting an application</a> to join our partner network here. We’ll be in touch to set up an introductory call where we’ll learn about your team and objectives, and share further details about working with us. From there, we’ll establish mutual expectations and outline next steps so we can begin working on shared initiatives that drive value for both companies.</p>


<p>Learn more about the benefits of partnering with us and how to <a href=""https://chata.ai/autoql/partners/"">get involved here</a>.</p>"
Do you offer a free trial?,"<p>Every database is unique and we build a custom language model for each customer we work with. This allows us to provide robust coverage for querying enterprise-grade databases, but this also means we’re not able to offer free trials of AutoQL, since there’s no “out of the box” version.</p>
<p>We do, however, offer a no-cost, no-commitment Proof of Concept. This means we won’t take your payment information or charge any up-front fees until value has been proven and you agree to move forward in the process of going to market with AutoQL.</p>
<p><a href=""https://chata.ai/contact/"">Get in touch with our team</a> to learn more about how this works and how to get started.</p>"
How does pricing work?,"<p>We offer two pricing models: Pay-As-You-Go and Subscription-Based pricing. In both cases, AutoQL pricing is consumption-based (per API call) and works on a sliding scale.</p>"
What are the benefits of offering a consumption-based pricing model?,"<p>We’ve carefully built out our pricing models to optimize benefits for our customers and for the partners we work with.</p>
<p>Here’s some of the core benefits of a consumption-based pricing model:</p>
<ul>
<li data-leveltext=""o"" data-font=""Courier New"" data-listid=""2"" aria-setsize=""-1"" data-aria-posinset=""1"" data-aria-level=""1"">Allows for full transparency and no surprises.</li>
<li data-leveltext=""o"" data-font=""Courier New"" data-listid=""2"" aria-setsize=""-1"" data-aria-posinset=""2"" data-aria-level=""1"">No POC fees and no implementation fees derisks the go-to-market process for our Integrators. Billing is only initiated when AutoQL is implemented and being used.</li>
<li data-leveltext=""o"" data-font=""Courier New"" data-listid=""2"" aria-setsize=""-1"" data-aria-posinset=""3"" data-aria-level=""1""><span data-contrast=""auto"">Integrators retain control of how they roll out AutoQL – whether that be gradually to a beta group of users, OR to all users in a dedicated new release. </span></li>
</ul>"
How can I learn more about pricing?,"<p><a title="""" href=""https://chata.ai/contact/"" target=""_blank"" rel=""noopener noreferrer"">Book a call</a> with our team to learn more about both of our pricing models, how they work, and what the best option is for your business.</p>"
Where is AutoQL hosted?,"<p><span class=""TextRun BCX0 SCXW231000872"" lang=""EN-CA"" xml:lang=""EN-CA"" data-contrast=""auto""><span class=""NormalTextRun SpellingErrorV2 SpellingErrorHighlight BCX0 SCXW231000872"">AutoQL</span></span><span class=""TextRun BCX0 SCXW231000872"" lang=""EN-CA"" xml:lang=""EN-CA"" data-contrast=""auto""><span class=""NormalTextRun BCX0 SCXW231000872""> </span></span><span class=""TextRun BCX0 SCXW231000872"" lang=""EN-CA"" xml:lang=""EN-CA"" data-contrast=""auto""><span class=""NormalTextRun BCX0 SCXW231000872"">is a cloud-based API</span></span><span class=""TextRun BCX0 SCXW231000872"" lang=""EN-CA"" xml:lang=""EN-CA"" data-contrast=""auto""><span class=""NormalTextRun BCX0 SCXW231000872"">, so the system itself is hosted securely on our cloud platform. </span></span><span class=""TextRun BCX0 SCXW231000872"" lang=""EN-CA"" xml:lang=""EN-CA"" data-contrast=""auto""><span class=""NormalTextRun BCX0 SCXW231000872"">The system communicates between your users and your database, but we do not store a copy of your database in the cloud or </span></span><span class=""TextRun BCX0 SCXW231000872"" lang=""EN-CA"" xml:lang=""EN-CA"" data-contrast=""auto""><span class=""NormalTextRun BCX0 SCXW231000872"">keep any of your end users’ information such as login credentials. </span></span></p>
<p><span class=""TextRun BCX0 SCXW231000872"" lang=""EN-CA"" xml:lang=""EN-CA"" data-contrast=""auto""><span class=""NormalTextRun SpellingErrorV2 BCX0 SCXW231000872"">AutoQL</span></span><span class=""TextRun BCX0 SCXW231000872"" lang=""EN-CA"" xml:lang=""EN-CA"" data-contrast=""auto""><span class=""NormalTextRun BCX0 SCXW231000872""> can also be integrated with </span><span class=""NormalTextRun ContextualSpellingAndGrammarErrorV2 BCX0 SCXW231000872"">on-premise</span><span class=""NormalTextRun BCX0 SCXW231000872""> software solutions.</span></span></p>"
