subject,question,answer
Opening an account,What proof of address documents do I need to bring to Canada Post?,"<p>If your government-issued photo ID doesn’t list your current address, you’ll also need to show a proof of address document, such as:</p>
<ul>
    <li>Recent utility bill (residential telephone, cable TV, public utilities commission, hydro, gas, or water)</li>
    <li>Residential Lease, Residential Mortgage Statement or Agreement, Rental Agreement Lease, Agreement of Purchase and Sale</li>
    <li>School, College, or University Report Card or Transcript</li>
    <li>Municipal tax notice</li>
    <li>Canada Child Tax Benefit statement</li>
    <li>Most recent Income Tax assessment </li>
    <li>Government cheque or Government cheque stub with individual’s name and address</li>
    <li>Statement of Employment Insurance Benefits Paid (T4E)</li>
    <li>Canada Pension Plan Statement of Contributions/Quebec Pension Plan Statement of Participation</li>
    <li>Statement of Benefits from Provincial Workplace Safety or Insurance Board</li>
    <li>Statement of Direct Deposit for Provincial Works or Provincial Disability Support Program</li>
    <li>Attestation of Residence issued by the responsible authorities (shelters, soup kitchens, student/senior residence, long term care facilities, Aboriginal reserves, work camps)</li>
    <li>Statement of Old Age Security (T4A) or Statement of Canada Pension Plan Benefits (T4AP)</li>
</ul>"
Opening an account,What is my Canada Post DSS number and why is it important?,"<p>If we’re unable to verify your identity through TransUnion (a credit reporting agency), you can do so by visiting Canada Post and providing your DSS number. A DSS number (or barcode) is given to Canada Post, so they can validate your identity based on the information in your application on our behalf. Your Canada Post DSS number will be emailed to you, but if you can’t find it, feel free to <a href=""/contact-us"">call our Customer Care team</a>.</p>"
Opening an account,"I’m trying to open an EQ Bank account, but I don’t bank with one of the listed banks. What do I do?","<p>As part of our online identity verification process, we may ask you to sign in to one of the banks below to validate your identity:</p>
<ul>
    <li>ATB Financial</li>
    <li>BMO</li>
    <li>CIBC</li>
    <li>Coast Capital Savings</li>
    <li>Desjardins</li>
    <li>HSBC</li>
    <li>Laurentian Bank</li>
    <li>Meridian</li>
    <li>National Bank</li>
    <li>RBC</li>
    <li>Scotiabank</li>
    <li>Simplii</li>
    <li>Tangerine</li>
    <li>TD Bank</li>
    <li>Vancity</li>
</ul>
<p>If you do not bank with any of the companies listed above, you can simply skip this step.</p>"
Opening an account,Why am I being directed to contact TransUnion to request an Online Consumer Disclosure?,"<p>An Online Consumer Disclosure is a detailed report of all the information on your credit file, and serves as a way for you to check the data as reported to TransUnion. The information you provide in your EQ Bank application must be an exact match to what is on your TransUnion credit file.</p>"
Opening an account,Does EQ Bank offer foreign exchange or USD accounts?,"<p>EQ Bank deals with Canadian currency only. We don’t offer foreign exchange or USD accounts at the moment.</p>
<p>We do, however, offer cheap, fast, and easy-to-use international money transfers. You can learn more about them <a href=""/personal-banking/international-money-transfers"">here</a>.</p>"
Opening an account,What type of products does EQ Bank offer?,"<p>We offer a high-interest savings account (Savings Plus Account), TFSA Savings Account, RSP Savings Account, and GICs (guaranteed investment certificates).</p>"
Opening an account,Can a non-resident open a bank account in Canada?,"<p>Unfortunately, not at the moment. All EQ Bank customers must be Canadian residents in order to open and maintain an account.</p>"
Opening an account,Does EQ Bank look at my credit score when I sign up?,"<p>As part of our online identity verification process, we conduct a “soft” credit check, which doesn’t affect your personal credit score. Your credit score is not considered when opening an EQ Bank account.</p>"
Opening an account,Does EQ Bank have a referral program?,"<p>We do, and thanks for wanting to tell others about us! To share your referral link, sign in and click on ""Refer a friend.""</p>"
Using your account,How do I find my account number?,"<p>Sign in to EQ Bank and, from the dashboard, click on your savings accounts. Each account has a unique nine-digit number associated with it.</p>"
Using your account,How do I deposit a cheque using the EQ Bank mobile app?,"<p>It’s easy! Simply sign in to your account using the EQ Bank mobile app. In the bottom right corner, click on “Deposit.” Enter the dollar value of the cheque in the “Amount” field, then select the account you wish to deposit the funds into. Take a photo of both the front and back of the cheque, then click “Deposit.”</p>"
Using your account,What kind of fees are associated with my Savings Plus Account?,"<p>We’re all about zero monthly banking fees! We don’t charge account fees, fees for sending or receiving <em>Interac</em> e-Transfers<sup>®</sup>, fees for bill payments, overdraft fees, or dormant account fees. After all, your money is your money. Check out the <a href=""/personal-banking/features-rates/savings-plus-account-fees-and-features"">full list of fees we <em>don’t</em> charge</a>.</p>"
Using your account,How do I set up a direct deposit to my Savings Plus Account?,"<p>Using the EQ Bank mobile app, sign in to your account, then click on the navigation menu in the top right corner. Click on “Set up Direct Deposit,” then “Download void cheque.”</p>
